model,n_runs,val/recall/10_mean,val/recall/10_std,val/recall/100_mean,val/recall/100_std,val/ndcg/10_mean,val/ndcg/10_std,val/ndcg/100_mean,val/ndcg/100_std,val/hitrate/10_mean,val/hitrate/10_std,val/hitrate/100_mean,val/hitrate/100_std,val/coverage/10_mean,val/coverage/10_std,val/coverage/100_mean,val/coverage/100_std,test/recall/10_mean,test/recall/10_std,test/recall/100_mean,test/recall/100_std,test/ndcg/10_mean,test/ndcg/10_std,test/ndcg/100_mean,test/ndcg/100_std,test/hitrate/10_mean,test/hitrate/10_std,test/hitrate/100_mean,test/hitrate/100_std,test/coverage/10_mean,test/coverage/10_std,test/coverage/100_mean,test/coverage/100_std
SASRec-ID,3,0.1212333341439565,0.0007400096362433136,0.10263609886169434,0.0012929429569621777,0.12910214066505432,0.0012961555993191939,0.09973841905593872,0.0012137441886903668,0.5054420828819275,0.0023715194839746376,0.8178743322690328,0.004474399095677678,0.004333268181011036,0.00016120770999140103,0.015760474513305766,0.00032070251765953256,0.10802292327086131,0.002615084731451704,0.09678959101438522,0.001752164117646736,0.1140293354789416,0.0028264241488204856,0.09026490151882172,0.001595775809343734,0.46100300550460815,0.007306818917769463,0.7802167534828186,0.005339793642929077,0.004362650600870487,0.0001610253826456057,0.015825626835602805,0.00027820108232195
SASRec-Content,3,0.07152757048606873,0.0009433254742567576,0.055998592327038445,8.892921228016749e-05,0.08104495952526729,0.001294782865809489,0.05584111685554186,0.00048308825900264274,0.4120376408100128,0.0027789671382492157,0.7233424385388693,0.0004924914572313148,0.08446806961334014,0.00446928919790212,0.386898762233626,0.016614839988124054,0.06621352086464564,0.0005782780137389605,0.05339944735169411,8.159976101962135e-05,0.07564502706130345,0.0008595712109735125,0.05234321082631747,0.00018294933495062506,0.3847096959749858,0.0007628298706917433,0.6840689778327942,0.0008076653244286927,0.0881383171027401,0.005072423102693746,0.3961529469928371,0.017102674294050952
